Name,SMILES
PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
NICOTINE,CN1CCC[C@H]1c1cccnc1
OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1
IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21
INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1
DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
MECAMYLAMINE,CNC1(C)C2CCC(C2)C1(C)C
PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12
DICHLORPHENAMIDE,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1
MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1
SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1
GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl
TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
ASPIRIN,CC(=O)Oc1ccccc1C(=O)O
